14 июл. 2026 09:58:47,844 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@735243911
14 июл. 2026 09:58:51,641 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 09:58:51,641 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@735243911
14 июл. 2026 09:58:53,070 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1648217898
14 июл. 2026 09:59:12,266 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:01:44,318 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@507619441
14 июл. 2026 10:01:46,226 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 10:01:46,226 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@507619441
14 июл. 2026 10:01:46,525 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1484982263
14 июл. 2026 10:01:52,668 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:03:06,340 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2109340890
14 июл. 2026 10:03:08,480 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2109340890
14 июл. 2026 10:03:08,480 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 10:03:10,963 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1945886568
14 июл. 2026 10:03:12,283 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1733711341
14 июл. 2026 10:03:12,283 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1474708138
14 июл. 2026 10:03:17,907 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2040249246
14 июл. 2026 10:03:25,782 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1285656308
14 июл. 2026 10:03:25,782 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@54883202
14 июл. 2026 10:03:25,783 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@799395547
14 июл. 2026 10:03:28,784 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2002332243
14 июл. 2026 10:03:35,344 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@928890567
14 июл. 2026 10:03:35,443 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1326653237
14 июл. 2026 10:03:35,443 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@668085625
14 июл. 2026 10:03:35,444 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@149797810
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1474708138
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2040249246
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@149797810
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@928890567
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1326653237
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1733711341
14 июл. 2026 10:03:41,608 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@668085625
14 июл. 2026 10:03:41,726 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2076482272
14 июл. 2026 10:03:41,741 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@27949392
