14 июл. 2026 10:44:52,807 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@73c2a19
14 июл. 2026 10:44:53,597 system - system - system  INFO RemoteLogger - Executed remote method (time: 4658 ms.): createNavigator(lsfusion.interop.connection.AuthenticationToken@df7a1933, lsfusion.interop.navigator.NavigatorInfo@66193a02)
14 июл. 2026 10:45:00,463 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - Executed remote method (time: 5385 ms.): exec(Service.getInitSettings[], lsfusion.interop.session.ExternalRequest@1a8c8cda)
14 июл. 2026 10:45:05,016 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@619c35db
14 июл. 2026 10:45:09,700 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:45:13,353 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 852, SID: _ADDFORMNEWSESSION_Main_products_p_Main_Product()]
14 июл. 2026 10:45:13,364 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:45:17,002 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0), value : М
14 июл. 2026 10:45:17,053 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,0)
14 июл. 2026 10:45:17,327 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1), value : Мо
14 июл. 2026 10:45:17,336 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,1)
14 июл. 2026 10:45:17,511 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,2), value : Мол
14 июл. 2026 10:45:17,520 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,2)
14 июл. 2026 10:45:17,690 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,3), value : Моло
14 июл. 2026 10:45:17,697 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,3)
14 июл. 2026 10:45:17,798 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,4), value : Молок
14 июл. 2026 10:45:17,806 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,4)
14 июл. 2026 10:45:17,909 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues started: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,5), value : Молоко
14 июл. 2026 10:45:17,918 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - getAsyncValues ended: Thread[#100,RMI:Main.product, TID - (100),5,RMI Runtime], indices : (-1,0,5)
14 июл. 2026 10:45:19,232 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 959, SID: name(p)]
14 июл. 2026 10:45:19,239 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 959, SID: name(p)]
14 июл. 2026 10:45:37,910 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 965, SID: price(p)]
14 июл. 2026 10:45:37,914 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 965, SID: price(p)]
14 июл. 2026 10:47:18,545 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 941, SID: formApply()]
14 июл. 2026 10:47:18,609 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 941, SID: formApply()]
14 июл. 2026 10:47:21,642 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:21,672 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:21,672 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:21,672 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:21,711 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 852, SID: _ADDFORMNEWSESSION_Main_products_p_Main_Product()]
14 июл. 2026 10:47:24,713 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:24,717 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:24,737 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:26,711 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1333703377 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:27,426 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:27,453 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:27,453 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:27,454 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1980764411 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:31,313 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 852, SID: _ADDFORMNEWSESSION_Main_products_p_Main_Product()]
